Garda Station
"35301 Abbeyfeale, Limerick Division"
"33202 Ballydehob, Cork West Division"
"33401 Ballydesmond, Cork West Division"
"34202 Ballyduff, Co. Kerry, Kerry Division"
"66201 Ballyfermot, D.M.R. Western Division"
"23103 Ballygar, Galway Division"
"53301 Ballyhale, Kilkenny/Carlow Division"
"22501 Ballyhaunis, Mayo Division"
"34203 Ballyheigue, Kerry Division"
"11102 Ballyjamesduff, Cavan/Monaghan Division"
"35101 Ballylanders, Limerick Division"
"41205 Ballylinan, Laois/Offaly Division"
"54105 Ballymacarberry, Waterford Division"
"24407 Ballymahon, Roscommon/Longford Division"
"44103 Ballymore, Westmeath Division"
"13103 Ballymote, Sligo/Leitrim Division"
"63201 Ballymun, D.M.R. Northern Division"
"44201 Ballynacargy, Westmeath Division"
"35401 Ballyneety, Limerick Division"
"32201 Ballynoe, Cork North Division"
"51102 Ballyporeen, Tipperary Division"
"12102 Ballyshannon, Donegal Division"
"21201 Ballyvaughan, Clare Division"
"33302 Baltimore, Cork West Division"
"43101 Baltinglass, Wicklow Division"
"41101 Banagher, Laois/Offaly Division"
"33105 Bandon, Cork West Division"
"22103 Bangor Erris, Mayo Division"
"51601 Bansha, Tipperary Division"
"33203 Bantry, Cork West Division"
"23802 Barnaderg, Galway Division"
"34102 Barraduff, Kerry Division"
"33501 Béal atha an Ghaorthaidh, Cork West Division"
"22104 Béal an Mhuirthead, Mayo Division"
"11203 Belturbet, Cavan/Monaghan Division"
"53302 Bennettsbridge, Kilkenny/Carlow Division"
"41102 Birr, Laois/Offaly Division"
"31401 Bishopstown, Cork City Division"
"11204 Blacklion, Cavan/Monaghan Division"
"31104 Blackrock, Co Cork, Cork City Division"
"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
"14301 Blackrock, Co Louth, Louth Division"
"52101 Blackwater, Wexford Division"
"66101 Blanchardstown, D.M.R. Western Division"
"31202 Blarney, Cork City Division"
"43102 Blessington, Wicklow Division"
"33402 Boherbue, Cork West Division"
"22203 Bonniconlon, Mayo Division"
"53102 Borris, Kilkenny/Carlow Division"
"41206 Borris-In-Ossory, Laois/Offaly Division"
"51303 Borrisokane, Tipperary Division"
"51401 Borrisoleigh, Tipperary Division"
"23603 Bothar Na Tra, Galway Division"
"24101 Boyle, Roscommon/Longford Division"
"43201 Bray, Wicklow Division"
"31105 Bridewell Cork, Cork City Division"
"62101 Bridewell Dublin, D.M.R. North Central Division"
"35102 Bruff, Limerick Division"
"35103 Bruree, Limerick Division"
"52201 Bunclody, Wexford Division"
"12201 Buncrana, Donegal Division"
"12103 Bundoran, Donegal Division"
"12202 Burnfoot, Donegal Division"
"32301 Buttevant, Cork North Division"
"65201 Cabinteely, D.M.R. Eastern Division"
"66102 Cabra, D.M.R. Western Division"
"34104 Caherciveen, Kerry Division"
"35402 Caherconlish, Limerick Division"
"51103 Cahir, Tipperary Division"
"53202 Callan, Kilkenny/Carlow Division"
"52303 Campile, Wexford Division"
"35104 Cappamore, Limerick Division"
"51602 Cappawhite, Tipperary Division"
"54106 Cappoquin, Waterford Division"
"45201 Carbury, Kildare Division"
"14302 Carlingford, Louth Division"
"53103 Carlow, Kilkenny/Carlow Division"
"23202 Carna, Galway Division"
"12203 Carndonagh, Donegal Division"
"43103 Carnew, Wicklow Division"
"12403 Carraig Airt, Donegal Division"
"52304 Carrickbyrne, Wexford Division"
"11302 Carrickmacross, Cavan/Monaghan Division"
"52305 Carrick-on-Bannow, Wexford Division"
"13202 Carrick-On-Shannon, Sligo/Leitrim Division"
"51201 Carrick-On-Suir, Tipperary Division"
"512015 Carrig na Bhfear, Cork City Division"
"31402 Carrigaline, Cork City Division"
"13203 Carrigallen, Sligo/Leitrim Division"
"12302 Carrigans, Donegal Division"
"32102 Carrigtwohill, Cork North Division"
"51104 Cashel, Tipperary Division"
"22304 Castlebar, Mayo Division"
"14102 Castlebellingham, Louth Division"
"11303 Castleblayney, Cavan/Monaghan Division"
"52402 Castlebridge, Wexford Division"
"53203 Castlecomer, Kilkenny/Carlow Division"
"35202 Castleconnell, Limerick Division"
"45103 Castledermot, Kildare Division"
"12303 Castlefin, Donegal Division"
"34307 Castlegregory, Kerry Division"
"34308 Castleisland, Kerry Division"
"34309 Castlemaine, Kerry Division"
"44202 Castlepollard, Westmeath Division"
"24204 Castlerea, Roscommon/Longford Division"
"33204 Castletownbere, Cork West Division"
"32202 Castletownroche, Cork North Division"
"11403 Cavan, Cavan/Monaghan Division"
"45202 Celbridge, Kildare Division"
"22502 Charlestown, Mayo Division"
