Garda Station,Latitude,Longitude
"65201 Cabinteely, D.M.R. Eastern Division",53.261305,-6.150436399999999
"66102 Cabra, D.M.R. Western Division",53.26114,-7.52713
"34104 Caherciveen, Kerry Division",51.9477992,-10.2209047
"35402 Caherconlish, Limerick Division",52.5951658,-8.4723577
"51103 Cahir, Tipperary Division",52.3745296,-7.925246899999999
"53202 Callan, Kilkenny/Carlow Division",52.544567,-7.390170899999999
"52303 Campile, Wexford Division",52.2881507,-6.9413872
"35104 Cappamore, Limerick Division",52.6149925,-8.3377813
"51602 Cappawhite, Tipperary Division",52.5820231,-8.167577699999999
"54106 Cappoquin, Waterford Division",52.1462713,-7.842743799999999
"45201 Carbury, Kildare Division",53.3560513,-6.964046199999999
"14302 Carlingford, Louth Division",54.0468677,-6.190181
"53103 Carlow, Kilkenny/Carlow Division",52.8359963,-6.924607399999999
"23202 Carna, Galway Division",53.32421679999999,-9.8361074
"12203 Carndonagh, Donegal Division",55.2506229,-7.266890500000001
"43103 Carnew, Wicklow Division",52.7096658,-6.4992316
"12403 Carraig Airt, Donegal Division",55.1775506,-7.793277699999999
"52304 Carrickbyrne, Wexford Division",52.36478,-6.77724
"11302 Carrickmacross, Cavan/Monaghan Division",53.9779778,-6.7188238
"52305 Carrick-on-Bannow, Wexford Division",52.23893140000001,-6.732336500000001
"13202 Carrick-On-Shannon, Sligo/Leitrim Division",53.9450799,-8.0865156
"51201 Carrick-On-Suir, Tipperary Division",52.3468118,-7.4147906
"512015 Carrig na Bhfear, Cork City Division",51.9891078,-8.477924
"31402 Carrigaline, Cork City Division",51.81644009999999,-8.3912667
"13203 Carrigallen, Sligo/Leitrim Division",53.9769348,-7.644325899999999
"12302 Carrigans, Donegal Division",54.9512185,-7.428285199999999
"32102 Carrigtwohill, Cork North Division",51.9094919,-8.2589402
"51104 Cashel, Tipperary Division",52.51590969999999,-7.8915829
"22304 Castlebar, Mayo Division",53.8517129,-9.2934089
"14102 Castlebellingham, Louth Division",53.8978634,-6.3894299
"11303 Castleblayney, Cavan/Monaghan Division",54.1207115,-6.739949999999999
"52402 Castlebridge, Wexford Division",52.3824281,-6.4502872
"53203 Castlecomer, Kilkenny/Carlow Division",52.8052843,-7.210312699999998
"35202 Castleconnell, Limerick Division",52.7129297,-8.500052499999999
"45103 Castledermot, Kildare Division",52.9118755,-6.837567
"12303 Castlefin, Donegal Division",54.802999,-7.5895814
"34307 Castlegregory, Kerry Division",52.25346510000001,-10.0207218
"34308 Castleisland, Kerry Division",52.2328974,-9.4601492
"34309 Castlemaine, Kerry Division",52.1684322,-9.7014756
"44202 Castlepollard, Westmeath Division",53.6800722,-7.2964508
"24204 Castlerea, Roscommon/Longford Division",53.7686571,-8.4924537
"33204 Castletownbere, Cork West Division",51.65149539999999,-9.910330199999999
"32202 Castletownroche, Cork North Division",52.1731113,-8.4634479
"11403 Cavan, Cavan/Monaghan Division",53.9988846,-7.3732044
"45202 Celbridge, Kildare Division",53.3387702,-6.5394381
"22502 Charlestown, Mayo Division",53.9640248,-8.7926035
"32302 Charleville, Cork North Division",52.3553037,-8.6836872
"23604 Cill Ronain, Galway Division",53.1232125,-9.670372799999999
"45302 Clane, Kildare Division",53.293785,-6.6870404
"41301 Clara, Laois/Offaly Division",53.3425103,-7.613480099999999
"22403 Claremorris, Mayo Division",53.72387639999999,-9.0017356
"23203 Clifden, Galway Division",53.4891345,-10.0202388
"23204 Cloch na Ron, Galway Division",53.39642079999999,-9.919018399999999
"41103 Cloghan, Co. Offaly, Laois/Offaly Division",53.13,-7.529999999999999
"51105 Clogheen, Co. Tipperary, Tipperary Division",52.2770794,-7.9951028
"12508 Clogher, Donegal Division",54.6596621,-8.649352499999999
"14201 Clogherhead, Louth Division",53.7916777,-6.2388506
"33304 Clonakilty, Cork West Division",51.6203379,-8.905510399999999
"24503 Clonark, Roscommon/Longford Division",53.36854,-8.03211
"41207 Clonaslee, Laois/Offaly Division",53.1486014,-7.524369599999999
"41302 Clonbologue, Laois/Offaly Division",53.26068309999999,-7.086431
"66202 Clondalkin, D.M.R. Western Division",53.32030260000001,-6.3946345
"11501 Clones, Cavan/Monaghan Division",54.1796829,-7.230667100000001
"12204 Clonmany, Donegal Division",55.2628052,-7.411610800000001
"51202 Clonmel, Tipperary Division",52.3623523,-7.7007084
"52102 Clonroche, Wexford Division",52.4496872,-6.7174157
"63401 Clontarf, D.M.R. Northern Division",53.77975540000001,-7.3055309
"51304 Cloughjordan, Tipperary Division",52.9429442,-8.0383372
"32402 Cloyne, Cork North Division",51.8630971,-8.121236999999999
"33503 Coachford, Cork West Division",51.909471,-8.788960099999999
"32103 Cobh, Cork North Division",51.8530415,-8.295090499999999
"14103 Collon, Louth Division",53.7777425,-6.4840991
"13302 Collooney, Sligo/Leitrim Division",54.1802746,-8.490293099999999
"22404 Cong, Mayo Division",53.54168439999999,-9.2834604
"12304 Convoy, Donegal Division",54.859725,-7.6654466
"13303 Coolaney, Sligo/Leitrim Division",54.17380929999999,-8.6008023
"63301 Coolock, D.M.R. Northern Division",53.77975540000001,-7.3055309
"11103 Cootehill, Cavan/Monaghan Division",54.0725034,-7.0823541
"21203 Corofin Co. Clare, Clare Division",52.9448216,-9.0640874
"23803 Corofin Co. Galway, Galway Division",53.437565,-8.8602715
"52202 Courtown Harbour, Wexford Division",52.6448624,-6.2286169
"23402 Craughwell, Galway Division",53.2302689,-8.7347736
"23104 Creggs, Galway Division",53.5937893,-8.361671
"33504 Crookstown, Cork West Division",51.84242700000001,-8.830431899999999
"35307 Croom, Limerick Division",52.519036,-8.7174345
"31403 Crosshaven, Cork City Division",51.8022632,-8.2904494
"22204 Crossmolina, Mayo Division",54.100342,-9.3158456
"64101 Crumlin, D.M.R. Southern Division",53.67174,-8.54849
"21101 Crusheen, Clare Division",52.9386532,-8.8967688
"41303 Daingean, Laois/Offaly Division",53.2960818,-7.291967
"44204 Delvin, Westmeath Division",53.6125653,-7.0917224
"34310 Dingle, Kerry Division",52.1408534,-10.2671142
"51305 Dolla, Tipperary Division",52.79794219999999,-8.1886721
"12104 Donegal Town, Donegal Division",54.653827,-8.1096142
"32303 Doneraile, Cork North Division",52.2151735,-8.585977399999999
"61101 Donnybrook, D.M.R. South Central Division",53.322876,-6.238141499999999
"31404 Douglas, Cork City Division",51.8711662,-8.4242008
"11205 Dowra, Cavan/Monaghan Division",54.1900827,-8.0162777
"33205 Drimoleague, Cork West Division",51.6599357,-9.261245299999999
"33305 Drinagh, Cork West Division",51.6513982,-9.1471506
"14202 Drogheda, Louth Division",53.7179018,-6.356423100000001
"14303 Drumad, Louth Division",54.084628,-6.3596593
"35308 Drumcollogher, Limerick Division",52.3396079,-8.9076419
"24303 Drumlish, Roscommon/Longford Division",53.82059030000001,-7.768414
"13206 Drumshambo, Sligo/Leitrim Division",54.2775969,-8.4715258
"63202 Dublin Airport, D.M.R. Northern Division",53.425632,-6.257375499999999
"42102 Duleek, Meath Division",53.6547501,-6.4221752
"12404 Dun Fionnachaid, Donegal Division",54.6548993,-8.1040967
"65203 Dun Laoghaire, D.M.R. Eastern Division",53.2949656,-6.142669
"42103 Dunboyne, Meath Division",53.4192677,-6.4758857
"52306 Duncannon, Wexford Division",52.2206117,-6.9325606
"14304 Dundalk, Louth Division",54.0024774,-6.388300099999999
"65102 Dundrum, D.M.R. Eastern Division",52.5595234,-8.043225099999999
"54107 Dungarvan, Waterford Division",52.0932368,-7.6304404
"43105 Dunlavin, Wicklow Division",53.0578764,-6.7016395
"14203 Dunleer, Louth Division",53.8310533,-6.3944559
"33306 Dunmanway, Cork West Division",51.7222571,-9.1118088
"54301 Dunmore East, Waterford Division",52.1527666,-6.994803999999999
"23804 Dunmore, Galway Division",53.6180163,-8.7441461
"42104 Dunshaughlin, Meath Division",53.5135229,-6.540252499999999
"41208 Durrow, Laois/Offaly Division",53.2356871,-7.7122229
"33206 Durrus, Cork West Division",51.6217112,-9.521993
"41304 Edenderry, Laois/Offaly Division",53.3432235,-7.0517202
"24304 Edgeworthstown, Roscommon/Longford Division",53.6956862,-7.608492999999999
"24103 Elphin, Roscommon/Longford Division",53.845726,-8.1919753
"51604 Emly, Tipperary Division",52.4633291,-8.3498992
"11503 Emyvale, Cavan/Monaghan Division",54.3409914,-6.959261199999999
"42402 Enfield, Meath Division",53.4142026,-6.8296541
"21102 Ennis, Clare Division",52.8470321,-8.9883123
"52103 Enniscorthy, Wexford Division",52.5031703,-6.5731293
"13106 Enniscrone, Sligo/Leitrim Division",54.2136818,-9.090835199999999
"43202 Enniskerry, Wicklow Division",53.1935037,-6.1707299
"21205 Ennistymon, Clare Division",52.940372,-9.2934951
"23501 Eyrecourt, Galway Division",53.1997171,-8.131427
"34311 Farranfore, Kerry Division",52.1719869,-9.5505078
"41104 Ferbane, Laois/Offaly Division",53.27195,-7.8278719
